contract_address,slug,total_volume
0x68e139552c4077ce5c9ab929c7e18ca721ffff00,decentraland-wearables,74116.60754300091
0x6a99abebb48819d2abe92c5e4dc4f48dc09a3ee8,decentraland-wearables,74116.60754300091
0x6b47e7066c7db71aa04a1d5872496fe05c4c331f,decentraland-wearables,74116.60754300091
0x7038e9d2c6f5f84469a84cf9bc5f4909bb6ac5e0,decentraland-wearables,74116.60754300091
0x75a3752579dc2d63ca229eebbe3537fbabf85a12,decentraland-wearables,74116.60754300091
0x90958d4531258ca11d18396d4174a007edbc2b42,decentraland-wearables,74116.60754300091
0xa8ee490e4c4da48cc1653502c1a77479d4d818de,decentraland-wearables,74116.60754300091
0xb5d14052d1e2bce2a2d7459d0379256e632b855d,decentraland-wearables,74116.60754300091
0xb96697fa4a3361ba35b774a42c58daccaad1b8e1,decentraland-wearables,74116.60754300091
0xbf53c33235cbfc22cef5a61a83484b86342679c5,decentraland-wearables,74116.60754300091
0xc04528c14c8ffd84c7c1fb6719b4a89853035cdd,decentraland-wearables,74116.60754300091
0xc1f4b0eea2bd6690930e6c66efd3e197d620b9c2,decentraland-wearables,74116.60754300091
0xc3af02c0fd486c8e9da5788b915d6fff3f049866,decentraland-wearables,74116.60754300091
0xc3ca6c364b854fd0a653a43f8344f8c22ddfdd26,decentraland-wearables,74116.60754300091
0xc82a864a94db3550bc71fcb4ce07228bcec21f1a,decentraland-wearables,74116.60754300091
0xd35147be6401dcb20811f2104c33de8e97ed6818,decentraland-wearables,74116.60754300091
0xdd9c7bc159dacb19c9f6b9d7e23948c87aa2397f,decentraland-wearables,74116.60754300091
0xe1ecb4e5130f493551c7d6df96ad19e5b431a0a9,decentraland-wearables,74116.60754300091
0xe7a64f6a239ed7f5bf18caa1ce2920d0c1278129,decentraland-wearables,74116.60754300091
0xecf073f91101ce5628669c487aee8f5822a101b1,decentraland-wearables,74116.60754300091
0xf64dc33a192e056bb5f0e5049356a0498b502d50,decentraland-wearables,74116.60754300091
0xfeb52cbf71b9adac957c6f948a6cf9980ac8c907,decentraland-wearables,74116.60754300091
0xffc5043d9a00865d089d5eefa5b3d1625aec6763,decentraland-wearables,74116.60754300091
0xe785e82358879f061bc3dcac6f0444462d4b5330,world-of-women-nft,71382.542377654
0x06012c8cf97bead5deae237070f9587f8e7a266d,cryptokitties,71120.87380599676
0x1cb1a5e65610aeff2551a50f76a87a7d3fb649c6,cryptoadz-by-gremplin,70791.49933886595
0x76be3b62873462d2142405439777e971754e8e77,parallelalpha,69786.25439420628
0x41a322b28d0ff354040e2cbc676f0320d8c8850d,superrare,68299.45047153681
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,superrare,68299.45047153681
0x306b1ea3ecdf94ab739f1910bbda052ed4a9f949,beanzofficial,65714.34718469036
0x22c36bfdcef207f9c0cc941936eff94d4246d14a,bored-ape-chemistry-club,57547.849800647535
0xbd3531da5cf5857e7cfaa92426877b022e612cf8,pudgypenguins,56240.500215144595
0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb,veefriends,55581.598541625244
0x4db1f25d3d98600140dfc18deb7515be5bd293af,hapeprime,55221.49225174088
0x86825dfca7a6224cfbd2da48e85df2fc3aa7c4b1,rtfkt-mnlth,54153.355386889176
